policy_id,policyholder_id,broker_id,policy_type,policy_number,start_date,end_date,premium_amount,coverage_limit,deductible,status,auto_make,auto_year,property_address,liability_type
POL014,PH005,BRK005,Commercial Liability,LIA-2024-30003,2024-02-01,2025-02-01,18000.00,25000000,25000,Active,,,,CGL
POL015,PH005,BRK005,Commercial Auto,AUT-2024-10005,2024-02-01,2025-02-01,9500.00,5000000,5000,Active,Fleet - 12 vehicles,2022,,
POL016,PH005,BRK005,Environmental Liability,ENV-2024-60001,2024-02-01,2025-02-01,35000.00,20000000,100000,Active,,,,
POL017,PH005,BRK005,Directors & Officers,DNO-2024-70001,2024-02-01,2025-02-01,8000.00,10000000,50000,Active,,,,
POL018,PH006,BRK006,Auto,AUT-2024-10006,2024-05-01,2025-05-01,2350.00,2000000,1000,Active,Hyundai Tucson,2021,,
POL019,PH006,BRK006,Property,PRP-2024-20006,2024-05-15,2025-05-15,1700.00,480000,1000,Active,,,234 King St E Hamilton ON,
POL020,PH007,BRK007,Auto,AUT-2024-10007,2024-01-20,2025-01-20,1450.00,2000000,500,Active,Mazda CX-5,2023,,
POL021,PH007,BRK007,Property,PRP-2024-20007,2024-02-10,2025-02-10,1550.00,420000,1000,Active,,,56 Geneva St St Catharines ON,
POL022,PH007,BRK007,Liability,LIA-2024-30004,2024-02-10,2025-02-10,750.00,3000000,2500,Active,,,,Personal Umbrella
POL023,PH008,BRK008,Commercial Property,PRP-2024-20008,2024-06-01,2025-06-01,5200.00,3000000,5000,Active,,,1200 Simcoe St N Oshawa ON,
POL024,PH008,BRK008,Commercial Liability,LIA-2024-30005,2024-06-01,2025-06-01,4100.00,5000000,10000,Active,,,,E&O
POL025,PH008,BRK008,Cyber Liability,CYB-2024-80001,2024-06-01,2025-06-01,7500.00,5000000,25000,Active,,,,
POL026,PH009,BRK009,Auto,AUT-2024-10008,2024-03-10,2025-03-10,1550.00,2000000,500,Active,Subaru Outback,2022,,
POL027,PH009,BRK009,Property,PRP-2024-20009,2024-03-20,2025-03-20,1900.00,580000,1000,Active,,,89 King St W Kitchener ON,
POL028,PH010,BRK010,Commercial Property,PRP-2024-20010,2024-07-01,2025-07-01,11000.00,8000000,10000,Active,,,Multiple farm locations London ON,
POL029,PH010,BRK010,Commercial Auto,AUT-2024-10009,2024-07-01,2025-07-01,8500.00,3000000,2500,Active,Fleet - 6 vehicles,2023,,
POL030,PH010,BRK010,Crop Insurance,CRP-2024-90001,2024-04-01,2024-11-01,25000.00,5000000,50000,Active,,,,
POL031,PH010,BRK010,Equipment Breakdown,EQB-2024-10001,2024-07-01,2025-07-01,6000.00,2000000,5000,Active,,,,
POL032,PH010,BRK010,Commercial Liability,LIA-2024-30006,2024-07-01,2025-07-01,5500.00,10000000,10000,Active,,,,CGL
POL033,PH011,BRK011,Auto,AUT-2024-10010,2024-08-01,2025-08-01,3200.00,2000000,1000,Active,BMW X5,2024,,
POL034,PH012,BRK012,Auto,AUT-2024-10011,2024-02-15,2025-02-15,1750.00,2000000,500,Active,Tesla Model 3,2023,,
POL035,PH012,BRK012,Property,PRP-2024-20011,2024-03-01,2025-03-01,2200.00,680000,1000,Active,,,167 Main St Unionville Markham ON,
POL036,PH012,BRK012,Liability,LIA-2024-30007,2024-03-01,2025-03-01,850.00,5000000,2500,Active,,,,Personal Umbrella
POL037,PH013,BRK013,Commercial Auto,AUT-2024-10012,2024-04-15,2025-04-15,28000.00,5000000,5000,Active,Fleet - 22 trucks,2020,,
POL038,PH013,BRK013,Commercial Property,PRP-2024-20012,2024-04-15,2025-04-15,9500.00,6000000,10000,Active,,,45 Industrial Dr Windsor ON,
POL039,PH013,BRK013,Commercial Liability,LIA-2024-30008,2024-04-15,2025-04-15,7200.00,15000000,25000,Active,,,,CGL
POL040,PH013,BRK013,Cargo/Goods in Transit,CGT-2024-11001,2024-04-15,2025-04-15,12000.00,3000000,10000,Active,,,,
POL041,PH014,BRK014,Auto,AUT-2024-10013,2024-09-01,2025-09-01,1800.00,2000000,500,Active,Chevrolet Equinox,2022,,
POL042,PH014,BRK014,Property,PRP-2024-20013,2024-09-15,2025-09-15,1400.00,350000,1000,Active,,,23 Peter St N Orillia ON,
POL043,PH015,BRK015,Commercial Property,PRP-2024-20014,2024-01-15,2025-01-15,18000.00,12000000,15000,Active,,,Multiple properties Kingston ON,
POL044,PH015,BRK015,Commercial Liability,LIA-2024-30009,2024-01-15,2025-01-15,9000.00,20000000,25000,Active,,,,CGL
POL045,PH015,BRK015,Directors & Officers,DNO-2024-70002,2024-01-15,2025-01-15,5500.00,10000000,50000,Active,,,,
POL046,PH015,BRK015,Commercial Auto,AUT-2024-10014,2024-01-15,2025-01-15,6000.00,3000000,2500,Active,Fleet - 4 vehicles,2023,,
POL047,PH015,BRK015,Tenant Improvement,TEN-2024-12001,2024-01-15,2025-01-15,3500.00,2000000,5000,Active,,,,
POL048,PH015,BRK015,Boiler & Machinery,BLR-2024-13001,2024-01-15,2025-01-15,4200.00,3000000,10000,Active,,,,
POL049,PH015,BRK015,Commercial Crime,CRM-2024-14001,2024-01-15,2025-01-15,2800.00,1000000,25000,Active,,,,
POL050,PH016,BRK001,Auto,AUT-2024-10015,2024-01-01,2025-01-01,1400.00,2000000,500,Active,Volkswagen Golf,2021,,
POL051,PH016,BRK001,Property,PRP-2024-20015,2024-01-15,2025-01-15,3100.00,920000,1000,Active,,,88 Bloor St E Toronto ON,
POL052,PH016,BRK001,Liability,LIA-2024-30010,2024-01-15,2025-01-15,1100.00,5000000,2500,Active,,,,Personal Umbrella
POL053,PH016,BRK001,Valuable Articles,VAL-2024-15001,2024-01-15,2025-01-15,650.00,150000,500,Active,,,,
POL054,PH017,BRK012,Commercial Property,PRP-2024-20016,2024-05-01,2025-05-01,7800.00,4000000,5000,Active,,,3 restaurants GTA ON,
POL055,PH017,BRK012,Commercial Liability,LIA-2024-30011,2024-05-01,2025-05-01,5500.00,10000000,10000,Active,,,,CGL
POL056,PH017,BRK012,Liquor Liability,LIQ-2024-16001,2024-05-01,2025-05-01,3200.00,2000000,5000,Active,,,,
POL057,PH018,BRK011,Auto,AUT-2024-10016,2024-06-15,2025-06-15,2800.00,2000000,1000,Active,Dodge RAM 1500,2022,,
POL058,PH018,BRK011,Property,PRP-2024-20017,2024-07-01,2025-07-01,1600.00,450000,1000,Active,,,112 Queen St Brampton ON,
POL059,PH019,BRK004,Auto,AUT-2024-10017,2024-02-20,2025-02-20,1500.00,2000000,500,Active,Kia Sportage,2023,,
POL060,PH019,BRK004,Property,PRP-2024-20018,2024-03-05,2025-03-05,2050.00,650000,1000,Active,,,34 Elgin St Ottawa ON,
POL061,PH019,BRK004,Liability,LIA-2024-30012,2024-03-05,2025-03-05,800.00,3000000,2500,Active,,,,Personal Umbrella
POL062,PH020,BRK005,Commercial Property,PRP-2024-20019,2024-08-01,2025-08-01,32000.00,25000000,50000,Active,,,Mining complex Sudbury ON,
POL063,PH020,BRK005,Commercial Liability,LIA-2024-30013,2024-08-01,2025-08-01,25000.00,50000000,100000,Active,,,,CGL
POL064,PH020,BRK005,Environmental Liability,ENV-2024-60002,2024-08-01,2025-08-01,55000.00,30000000,250000,Active,,,,
POL065,PH020,BRK005,Workers Compensation,WCB-2024-40002,2024-08-01,2025-08-01,42000.00,5000000,0,Active,,,,
POL066,PH020,BRK005,Commercial Auto,AUT-2024-10018,2024-08-01,2025-08-01,15000.00,5000000,5000,Active,Fleet - 18 vehicles,2021,,
