filing_id,filing_type,filing_date,regulatory_body,region,status,due_date,summary
RF011,Appointed Actuary Report,2024-02-15,OSFI,National,Completed,2024-03-15,"Appointed Actuary's annual report on policy liabilities per CIA Standards of Practice. Total net policy liabilities: $8.4B (gross: $9.2B net of reinsurance recoverable: $0.8B). Key assumptions: loss development factors based on 10-year triangles weighted toward recent experience, discount rates per IFRS 17 requirements, PFAD (Provision for Adverse Deviation) factors at CIA-prescribed minimums given mature book stability. Areas of uncertainty: 1) Long-tail casualty reserves for historical environmental and abuse claims, 2) Auto reform impact on Ontario BI development, 3) Inflation assumptions for property replacement costs. Opinion: liabilities are adequate to meet future obligations."
RF012,Conduct Risk Self-Assessment,2024-09-01,FSRA,Ontario,Completed,2024-10-01,"Annual conduct risk self-assessment per FSRA Fair Treatment of Customers framework. Categories assessed: product design (Low risk), distribution practices (Low risk), claims handling (Medium risk — improvement plan in place for BI timeliness), complaint resolution (Low risk), vulnerable customers (Medium risk — enhanced protocols being implemented for senior clients and those affected by catastrophic events). Ombudsman statistics: 45 complaints escalated in 12 months (down from 62 prior year), 38 resolved in insurer's favour, 4 resulted in additional payments, 3 pending. Overall assessment: satisfactory conduct risk profile with two areas of active improvement."
RF013,Investment Compliance,2024-12-01,OSFI,National,Completed,2024-12-31,"Quarterly investment portfolio compliance report. Total investment portfolio: $12.8B. Asset allocation: fixed income 68%, equities 18%, real estate 8%, alternatives 6%. Duration matching: asset duration 4.2 years vs liability duration 3.8 years (within +/- 0.5 year guideline). Credit quality: 92% investment grade (BBB- or above), 8% below investment grade (within 10% limit). Single issuer concentration: largest single corporate exposure 1.8% (within 3% limit). Stress test: 300bps rate rise = -$850M market value impact, offset by $620M liability decrease. Net interest rate risk: -$230M (within $300M board limit)."
RF014,Fraud Reporting,2024-12-15,IBC,National,Completed,2025-01-15,"Annual insurance fraud activity report to Insurance Bureau of Canada. Total investigations opened: 89 (up 15% from prior year). Investigations by type: staged accidents 28%, exaggerated claims 22%, application fraud 18%, arson/intentional damage 12%, identity fraud 10%, other 10%. Claims denied for fraud: 34 (total value: $1.8M). Criminal referrals: 8. Successful prosecutions from prior year referrals: 3. Fraud savings (avoided payouts): $4.2M. Key trends: increase in organized tow truck fraud rings in GTA, emerging cyber-related fraud patterns, continued growth in application fraud using synthetic identities."
RF015,Earthquake Exposure,2024-04-01,OSFI,National,Completed,2024-05-01,"Earthquake exposure filing per OSFI requirements. Key zone exposures: Toronto/Hamilton (highest concentration — $2.1B total insured values within Modified Mercalli Intensity VII+ zone), Ottawa ($450M), Montreal operations ($380M via national accounts). Modelled losses (500-year return period): Toronto M6.0 scenario = gross $380M, net after reinsurance = $42M. Deductible assumptions: residential 5% of coverage, commercial 10% of coverage. Capacity adequacy: current reinsurance program provides coverage to modelled 1-in-750 year event. Concentration risk management: GTA portfolio capped at $2.5B total insured values per postal code forward sortation area."
RF016,Auto Insurance Rate Filing,2024-05-15,FSRA,Ontario,Under Review,2024-08-15,"Rate filing submitted to FSRA for personal auto insurance. Requesting overall average rate change of +3.8% effective October 1, 2024. Rate changes by coverage: Third Party Liability +2.1%, Accident Benefits +5.4%, Collision +4.2%, Comprehensive +1.8%. Justification: increased repair costs (parts inflation 8.2%), rising AB costs (treatment costs up 6.1%), improved loss experience in liability (partially offsetting). Impact on policyholders: 65% will see increase of less than $50/year, 20% will see decrease, 15% will see increase of $50-$100/year. Filing includes updated territory definitions reflecting claims patterns in GTA growth areas."
RF017,Pension Plan Compliance,2024-11-01,FSRA,Ontario,Completed,2024-12-01,"Annual pension plan compliance filing for defined benefit plan. Plan membership: 4,200 active members, 2,800 deferred vested, 3,100 pensioners. Funded status: 104% on going-concern basis, 92% on solvency basis. Solvency deficit: $85M. Minimum required contribution: $12M annually. Actual employer contribution: $18M (above minimum to improve solvency position). Investment return for year: 7.2% (above 6.0% discount rate assumption). Key risk: interest rate sensitivity — 100bps decrease in rates would reduce funded status by approximately 8 percentage points."
RF018,Cybersecurity Assessment,2024-10-01,OSFI,National,Completed,2024-11-01,"Annual technology and cybersecurity self-assessment per OSFI Guideline B-13. Key metrics: Mean time to detect incidents: 4.2 hours (target: <6 hours), Mean time to respond: 1.8 hours (target: <2 hours), Phishing simulation failure rate: 3.2% (target: <5%), Patch management: 99.1% critical patches applied within 72 hours, Penetration testing: annual external test completed with 2 medium findings (both remediated), Vendor risk assessments: 100% of critical vendors assessed annually. Areas of improvement: 1) Legacy application retirement (3 systems pending migration), 2) Third-party API security (new scanning tools deployed Q3). Overall maturity rating: Level 4 of 5 (target maintained)."
RF019,Complaint Handling Report,2024-06-15,FSRA,Ontario,Completed,2024-07-15,"Semi-annual complaint handling report per FSRA requirements. Total complaints received: 1,247 (personal auto: 52%, property: 28%, commercial: 12%, other: 8%). Resolution: 89% resolved within 30-day target, 96% within 60 days. Escalations to OmbudService: 22 (down from 31 same period prior year). Themes: auto claims repair quality disputes (18%), property claims scope disagreements (15%), renewal premium increases (14%), auto AB treatment plan delays (12%), subrogation deductible recovery timing (8%). Systemic issues identified: repair quality concerns led to vendor performance review program — 3 vendors removed from preferred list."
RF020,Group Life Insurance Filing,2024-08-01,OSFI,National,Completed,2024-09-01,"Group life and health insurance portfolio compliance filing. Total group lives insured: 285,000 across 450 employer groups. Key metrics: mortality experience 88% of expected (favourable), disability incidence trending upward (5% above expected — monitoring), drug cost trend: 7.8% increase year-over-year (driven by biologics and specialty drugs). Reserve adequacy: IBNR reserves at 102% of actuarial central estimate. Large claim pooling: 12 claims above $500,000 individual pooling point. Reinsurance adequacy: confirmed coverage to $5M per life. No concerns raised by OSFI in preliminary review."
