score_id,region,score_date,risk_score,auto_risk,property_risk,liability_risk,claims_frequency,severity_index,weather_factor,fraud_indicator
RS096,Southwestern Ontario,2024-12-15,75,78,72,73,0.060,0.86,High,0.04
RS097,Northern Ontario,2024-01-01,65,60,68,65,0.048,0.73,Medium,0.03
RS098,Northern Ontario,2024-01-15,68,63,72,68,0.051,0.77,Medium,0.03
RS099,Northern Ontario,2024-02-01,72,75,70,70,0.056,0.82,High,0.04
RS100,Northern Ontario,2024-02-15,75,78,72,73,0.060,0.86,High,0.04
RS101,Northern Ontario,2024-03-01,70,72,68,68,0.053,0.79,Medium,0.03
RS102,Northern Ontario,2024-03-15,67,68,66,66,0.050,0.76,Medium,0.03
RS103,Northern Ontario,2024-04-01,62,58,64,62,0.044,0.70,Low,0.02
RS104,Northern Ontario,2024-04-15,59,55,62,59,0.041,0.67,Low,0.02
RS105,Northern Ontario,2024-05-01,56,52,58,56,0.038,0.63,Low,0.02
RS106,Northern Ontario,2024-05-15,54,50,56,54,0.036,0.61,Low,0.02
RS107,Northern Ontario,2024-06-01,52,48,55,52,0.034,0.59,Low,0.01
RS108,Northern Ontario,2024-06-15,54,50,57,54,0.036,0.61,Low,0.02
RS109,Northern Ontario,2024-07-01,56,52,59,56,0.038,0.63,Low,0.02
RS110,Northern Ontario,2024-07-15,58,55,61,58,0.040,0.65,Low,0.02
RS111,Northern Ontario,2024-08-01,60,57,63,60,0.042,0.68,Medium,0.03
RS112,Northern Ontario,2024-08-15,58,55,61,58,0.040,0.65,Low,0.02
RS113,Northern Ontario,2024-09-01,62,59,64,61,0.044,0.70,Medium,0.03
RS114,Northern Ontario,2024-09-15,65,63,67,64,0.048,0.74,Medium,0.04
RS115,Northern Ontario,2024-10-01,68,66,70,67,0.051,0.77,Medium,0.04
RS116,Northern Ontario,2024-10-15,72,70,73,71,0.055,0.81,High,0.05
RS117,Northern Ontario,2024-11-01,76,78,74,75,0.061,0.87,High,0.05
RS118,Northern Ontario,2024-11-15,79,82,76,78,0.065,0.90,High,0.06
RS119,Northern Ontario,2024-12-01,82,85,78,80,0.070,0.94,High,0.06
RS120,Northern Ontario,2024-12-15,79,82,76,78,0.066,0.91,High,0.05
RS121,Southern Ontario,2024-01-01,57,54,59,56,0.039,0.64,Low,0.02
RS122,Southern Ontario,2024-01-15,59,56,61,58,0.041,0.66,Low,0.02
RS123,Southern Ontario,2024-02-01,63,67,59,61,0.046,0.71,Medium,0.02
RS124,Southern Ontario,2024-02-15,66,71,61,63,0.049,0.74,Medium,0.03
RS125,Southern Ontario,2024-03-01,61,64,58,60,0.043,0.69,Low,0.02
RS126,Southern Ontario,2024-03-15,58,60,56,57,0.040,0.66,Low,0.02
RS127,Southern Ontario,2024-04-01,54,50,56,54,0.036,0.61,Low,0.01
RS128,Southern Ontario,2024-04-15,52,48,54,52,0.034,0.59,Low,0.01
RS129,Southern Ontario,2024-05-01,49,44,52,49,0.032,0.56,Low,0.01
RS130,Southern Ontario,2024-05-15,51,46,54,51,0.033,0.58,Low,0.01
RS131,Southern Ontario,2024-06-01,53,49,56,53,0.035,0.60,Low,0.01
RS132,Southern Ontario,2024-06-15,55,51,58,55,0.037,0.62,Low,0.02
RS133,Southern Ontario,2024-07-01,57,53,60,57,0.039,0.64,Low,0.02
RS134,Southern Ontario,2024-07-15,59,56,62,59,0.041,0.66,Medium,0.02
RS135,Southern Ontario,2024-08-01,56,53,59,56,0.038,0.63,Low,0.02
RS136,Southern Ontario,2024-08-15,54,51,57,54,0.036,0.61,Low,0.01
RS137,Southern Ontario,2024-09-01,57,54,59,56,0.039,0.64,Low,0.02
RS138,Southern Ontario,2024-09-15,60,57,62,59,0.042,0.68,Low,0.02
RS139,Southern Ontario,2024-10-01,63,61,65,62,0.045,0.71,Medium,0.03
RS140,Southern Ontario,2024-10-15,66,65,67,65,0.048,0.74,Medium,0.03
RS141,Southern Ontario,2024-11-01,70,73,67,68,0.053,0.79,High,0.03
RS142,Southern Ontario,2024-11-15,73,77,69,71,0.057,0.83,High,0.04
RS143,Southern Ontario,2024-12-01,75,79,71,73,0.060,0.86,High,0.04
RS144,Southern Ontario,2024-12-15,72,75,69,71,0.056,0.82,High,0.03
