note_id,claim_id,adjuster_name,note_date,note_type,content
CN011,CLM009,Andre Bouchard,2024-06-10,Survey Report,"Marine surveyor report received. Container suffered structural deformation on port side consistent with shifting during heavy seas. Water ingress through compromised door gasket. Equipment inside (CNC milling components) shows corrosion damage and physical impact marks. Estimated loss at $220,000 based on replacement cost. Carrier's liability potentially capped under bill of lading terms. Reviewing subrogation against carrier."
CN012,CLM010,Andre Bouchard,2024-09-05,Initial Assessment,"Environmental claim — diesel fuel leak discovered from underground storage tank at the northern dock facility. Estimated 8,000 litres released over a period of 2-3 weeks before detection. Contamination plume has migrated to adjacent property (Crown land). Ministry of Environment (MECP) has been notified and issued a Provincial Officer's Order for immediate remediation. Environmental consultants mobilized. Initial estimate $450,000-600,000 for full remediation."
CN013,CLM010,Andre Bouchard,2024-10-01,Remediation Update,"Phase 1 remediation underway. Excavation of contaminated soil in progress — approximately 2,400 tonnes identified for removal to licensed facility. Groundwater monitoring wells installed (6 locations). Preliminary results show BTEX compounds above Ontario Regulation 153/04 standards in 3 of 6 wells. Second phase groundwater treatment will be required. MECP compliance timeline: 18 months. Revised cost estimate: $500,000-$700,000."
CN014,CLM016,Sophie Lavoie,2024-08-22,Initial Assessment,"Ransomware attack on Maple Tech Solutions systems. Attack vector identified as phishing email opened by employee on August 18. REvil variant encrypted primary database server and 3 application servers. Attackers demanding $250,000 BTC. Company engaged CrowdStrike for forensic investigation. Data exfiltration confirmed — client records including PII potentially exposed. Mandatory Privacy Commissioner notification initiated. Business interruption: 5+ days so far."
CN015,CLM016,Sophie Lavoie,2024-09-05,Forensic Update,"CrowdStrike forensic report complete. Attack timeline: initial access Aug 16, lateral movement Aug 17, encryption Aug 18 at 02:45 AM. Confirmed exfiltration of 2.3GB data including customer names, emails, and partial payment information. No SIN or health data compromised. Recovery from offline backups successful — 72 hours to full system restoration. Total costs: forensics $45,000, legal/notification $30,000, system recovery $50,000, credit monitoring $20,000, business interruption $30,000."
CN016,CLM019,Andre Bouchard,2024-08-18,Initial Assessment,"Major hailstorm event affecting London/Middlesex region on August 14. Multiple farm buildings damaged across 3 properties. Main barn: roof penetrated in 12+ locations, siding damaged west and north faces. Machine shed: partial roof collapse on eastern section. Grain bins: 2 of 5 bins have denting affecting structural integrity. Equipment in machine shed (combine header) also impacted. Adjuster site visit completed with drone photography."
CN017,CLM021,Andre Bouchard,2024-08-02,Crop Assessment,"Crop insurance claim for drought damage to corn (400 acres) and soybean (250 acres). AGRICORP representative completed field assessment on July 28. Corn yield projected at 60% of 10-year average — ears showing poor kernel set and premature dry-down. Soybean yield projected at 55% of normal — significant pod abortion observed. Rainfall deficit of 120mm below normal for June-July period. Satellite imagery confirms widespread stress across all enrolled fields."
CN018,CLM022,Marie Dubois,2024-09-25,Investigation Note,"Single vehicle accident on Highway 401 near Milton. BMW X5 left roadway and rolled into median at approximately 2:15 AM. Policyholder claims tire blowout caused loss of control. However, OPP notes indicate high speed and no skid marks prior to departure from roadway. Vehicle is only 3 months old with 4,200 km. Toxicology not administered at scene as policyholder refused. Scene reconstruction report requested. This claim has been referred to SIU for further investigation."
CN019,CLM022,Marie Dubois,2024-10-15,SIU Referral,"Special Investigations Unit assigned investigator J. Morrison. Preliminary findings raise red flags: policyholder has significant outstanding debts ($45,000 on credit line), vehicle is overfinanced (owing $68,000 on $62,000 MSRP vehicle), and social media posts from 2 weeks prior show policyholder discussing selling the vehicle. Phone records show policyholder's phone was turned off from 1:45 AM to 3:30 AM — period surrounding the accident. Surveillance authorized."
CN020,CLM025,Sophie Lavoie,2024-05-22,Initial Assessment,"Transport truck jackknifed on Highway 401 westbound overpass near Tilbury during early morning ice event. Trailer struck concrete barrier and partially left the roadway. Driver sustained minor injuries. Significant damage to tractor unit (frame bent), trailer (structural compromise), and roadway infrastructure. MTO damage claim expected. Load of auto parts was secured but approximately 30% damaged. Multiple other vehicles involved in secondary collision."
CN021,CLM026,Jean-Marc Tremblay,2024-11-01,Initial Assessment,"Large warehouse fire at 45 Industrial Dr, Windsor. Fire department responded to alarm at 11:45 PM on October 28. Fire originated in loading dock electrical panel area. High winds spread fire to main warehouse section. Approximately 4,000 sq ft of 12,000 sq ft building destroyed. Significant smoke and water damage to remaining structure. Building is operational hub for trucking company — fleet dispatch, maintenance records, and spare parts all affected. Business continuity plan activated by insured."
CN022,CLM026,Jean-Marc Tremblay,2024-11-20,Scope Update,"Full scope assessment complete: structural rebuild of destroyed section $180,000, smoke remediation of remaining structure $45,000, electrical system complete replacement $35,000, contents (parts, tools, equipment) $15,000, business interruption projected at $5,000/day for estimated 45-day rebuild. Total projected: $280,000. Subrogation potential against electrical panel manufacturer — model recall history noted. Building permit applications filed with City of Windsor."
CN023,CLM033,Pierre Gagnon,2024-10-02,Initial Assessment,"Water damage claim at 88 Bloor St E, unit 1204. Unit 1304 directly above experienced dishwasher supply line failure. Water flowed through floor/ceiling assembly for approximately 6 hours before discovery. Damage to policyholder's unit: ceiling collapse in living room and kitchen area, hardwood flooring warped throughout main living area, kitchen cabinetry warped (particle board construction absorbed water). Insurance for unit above confirmed — subrogation file opened."
CN024,CLM034,Jean-Marc Tremblay,2024-08-12,Initial Assessment,"Restaurant kitchen fire at York Mills location (Bayview & York Mills). Fire started at deep fryer station — grease ignition when filter system malfunctioned during cleaning. Ansul suppression system activated but fire had already spread to exhaust hood and ceiling plenum. Dining room has extensive smoke damage. Kitchen is a complete loss. Health unit has closed all 3 restaurant locations pending fire investigation clearance for the affected property. Business interruption across 3 locations."
CN025,CLM036,Marie Dubois,2024-08-30,Investigation Note,"Single vehicle rollover on Highway 410 exit ramp. Policyholder's Dodge RAM 1500 departed roadway on curved ramp and rolled 1.5 times. Policyholder claims he was cut off by another vehicle that did not stop. No independent witnesses. OPP report notes speed likely excessive for ramp conditions. Vehicle has been totalled — estimated value $38,000. Policyholder's injuries require ongoing treatment. Claim flagged for review given disputed circumstances and high-value vehicle."
CN026,CLM039,Andre Bouchard,2024-09-22,Initial Assessment,"Catastrophic failure of main underground conveyor system at Sudbury mine site. Primary drive motor seized causing chain reaction failure in 180m conveyor section. Root cause suspected as bearing failure due to inadequate lubrication — maintenance records being reviewed. Production halted on levels 4 through 7. Emergency bypass being constructed but will only handle 40% of normal throughput. Mining engineer estimates 3-week minimum repair timeline. Cost exposure significant: parts $120,000, labour $80,000, production loss at $150,000/week."
CN027,CLM039,Andre Bouchard,2024-10-08,Engineering Report,"Independent engineering assessment completed by Northern Mining Consultants. Failure confirmed as catastrophic bearing failure in drive unit #3. Contributing factors: 1) Lubrication schedule was industry-standard but this specific drive operates in higher temperature zone requiring more frequent service, 2) Vibration monitoring data shows increasing amplitude over 6-week period that was not escalated, 3) Original equipment manufacturer bulletin from 2023 recommended bearing upgrade for this operating condition — not implemented by insured."
CN028,CLM040,Andre Bouchard,2024-10-18,Initial Assessment,"Tailings pond overflow at northern processing facility during October 12-14 heavy rainfall event. Freeboard was at minimum allowable level prior to event. Emergency spillway activated but exceeded design capacity. Approximately 50,000 cubic metres of tailings water released into adjacent creek system over 36-hour period. MECP emergency response team on site. Mining Act Section 21 report filed. Dam safety review ordered. Environmental impact on aquatic ecosystem under assessment. Remediation scope to be determined pending regulatory direction."
CN029,CLM040,Andre Bouchard,2024-11-15,Regulatory Update,"MECP has issued formal Director's Order requiring: 1) Immediate construction of containment berms along 2.3 km of affected creek, 2) Installation of water treatment system at creek confluence point, 3) Weekly water quality monitoring at 12 designated points for minimum 2 years, 4) Fish habitat restoration plan to be submitted within 60 days, 5) Dam safety review and upgrade plan within 90 days. Preliminary cost estimate from environmental consultant: $650,000-$900,000 for items 1-4, dam upgrade cost TBD pending engineering review. Federal DFO also engaged regarding Fisheries Act implications."
CN030,CLM009,Andre Bouchard,2024-07-15,Subrogation Update,"Reviewed bill of lading and carrier's liability terms. Hague-Visby rules apply — carrier liability capped at 2 SDR per kilogram unless higher value declared. Shipment weight 8,400 kg = cap approximately $32,000 CAD. Declared value was $180,000. Carrier's marine insurer acknowledging potential liability above cap due to documented failure to properly secure container (surveyor photos show inadequate lashing). Subrogation demand letter issued for $170,000. Carrier's legal counsel has requested meeting."
CN031,CLM006,Sophie Lavoie,2024-09-20,Settlement Note,"AB claim settled. Policyholder completed 12 weeks physiotherapy with good recovery. Final medical assessment confirms resolution of soft tissue injury. Vehicle repair completed at $15,200. Total claim cost: vehicle repair $15,200 + rental $1,800 + medical/AB $8,500 + income replacement (4 days) $2,200 = $27,700. File recommended for closure pending final receipt of medical discharge report."
CN032,CLM004,Jean-Marc Tremblay,2024-06-01,Subrogation Filing,"Subrogation claim filed against Barrie Electrical Contractors Ltd for failure to upgrade wiring during 2015 renovation as required by building permit. Our forensic report clearly establishes that the junction box where fire originated was within scope of the 2015 renovation permit. Permit sign-off was obtained without completing the work. Demand letter sent for full claim amount of $120,000 plus investigation costs of $8,500."
CN033,CLM024,Jean-Marc Tremblay,2024-12-05,Initial Assessment,"Frozen pipe claim at 167 Main St, Unionville. Policyholder was away for holiday travel from November 25 to December 1. Furnace failure occurred approximately November 27 based on thermostat data logging. Interior temperature dropped below freezing by November 28. Multiple pipes burst in upstairs bathroom and kitchen supply lines. Extensive water damage to both floors. Home is currently uninhabitable. Emergency services dispatched for water extraction and temporary heat restoration. Coverage review: policy requires heat maintenance — checking smart thermostat alert settings."
CN034,CLM031,Sophie Lavoie,2024-06-05,Liability Assessment,"Slip and fall claim from tenant at Limestone Property Group commercial plaza. Claimant alleges uneven pavement in parking lot caused fall resulting in fractured wrist. Site inspection reveals: pavement heaving at 3 locations exceeding 2cm differential (above municipal standard). Property maintenance records show issue was reported by property manager 4 months prior but repair was deferred to spring. Liability appears probable. Claimant's medical documentation and lost wage claim under review. Reserve set at $35,000."
CN035,CLM035,Sophie Lavoie,2024-11-28,Initial Assessment,"Liquor liability claim arising from altercation at restaurant/bar. Patron (M, 34) sustained facial injuries requiring surgical repair after being struck by another patron. Claimant alleges staff continued serving alcohol to the assailant despite visible intoxication. Security camera footage obtained — reviewing 3 hours of footage from incident evening. AGCO (Alcohol and Gaming Commission) incident report filed. Witness statements from 4 staff members being collected. Claimant's legal counsel has provided demand letter for $85,000 in damages."
CN036,CLM035,Sophie Lavoie,2024-12-15,Video Review,"Security footage review complete. Timeline: assailant arrived at 8:45 PM, ordered 4 drinks between 8:45-10:30 PM, appeared visibly intoxicated by approximately 10:00 PM (stumbling, loud behaviour noted on video). Staff served 2 additional drinks after this point. Altercation occurred at 10:45 PM. Under Ontario Liquor Licence Act, establishment has duty to refuse service to intoxicated patrons. Liability exposure is significant. Recommending settlement negotiation at $40,000-$50,000 given clear video evidence and AGCO violation risk."
CN037,CLM038,Jean-Marc Tremblay,2024-12-12,Initial Assessment,"Garage roof collapse at 34 Elgin St, Ottawa. Heavy snowfall event (45cm over 2 days) exceeded structural capacity of flat-roof attached garage. Roof membrane failed under snow weight, causing full collapse onto vehicles inside (2 cars: Kia Sportage and Toyota Corolla belonging to spouse). Both vehicles sustained total loss from structural debris. Structural engineer confirms roof design met code at time of construction (1975) but current snow load requirements are significantly higher. Coverage review: no exclusion for snow load collapse in current policy. Reserve set at $18,000 for structure plus vehicle claims to be filed separately under auto policy."
CN038,CLM008,Andre Bouchard,2024-05-05,Vendor Selection,"Three quotes received for conveyor motor repair/replacement: 1) Northern Heavy Equipment: $45,000 (repair and rebuild, 4-week timeline), 2) Superior Industrial: $62,000 (new motor, 6-week timeline — backordered), 3) Lakehead Mechanical: $38,000 (repair only, 3-week timeline but limited warranty). Recommending Northern Heavy Equipment — balance of cost, timeline, and comprehensive warranty (24 months). Additionally, spoilage claim for grain that could not be moved: 850 tonnes at approximately $18/tonne = $15,300. Total approved: $60,300."
CN039,CLM015,Pierre Gagnon,2024-07-15,Investigation Findings,"Fire origin confirmed as grease trap ignition in commercial kitchen. Exhaust hood suppression system (Ansul) was last serviced 14 months ago — quarterly service required under Ontario Fire Code. Kitchen manager confirms they switched service providers and the scheduled maintenance was missed during transition. This creates potential subrogation against the commercial tenant for failure to maintain fire suppression system as required by lease and fire code. Fire Marshal's office has issued order against the property. Reserve maintained at $45,000."
CN040,CLM032,Marie Dubois,2024-02-18,Quick Close,"Minor rear-end collision on Gardiner Expressway during stop-and-go traffic. Damage limited to rear bumper cover and parking sensors. No injuries. At-fault driver's insurance confirmed liability. Repair completed at Downtown Auto Body: $6,000. Rental waived by policyholder. File closed. Recovery from at-fault insurer in progress — demand sent to Aviva for $6,500 inclusive of deductible recovery and admin costs."
