claim_id,policy_id,policyholder_id,claim_number,claim_date,incident_date,claim_type,claim_amount,deductible_applied,net_payout,claim_status,adjuster_name,region,description
CLM029,POL042,PH014,CLM-2024-00029,2024-11-10,2024-11-09,Windstorm,15000.00,1000.00,14000.00,Approved,Jean-Marc Tremblay,Central Ontario,High winds tore off porch roof and damaged fence
CLM030,POL043,PH015,CLM-2024-00030,2024-03-22,2024-03-20,Property Flood,55000.00,15000.00,40000.00,Closed,Andre Bouchard,Eastern Ontario,Spring flooding from St. Lawrence River damaged ground floor
CLM031,POL044,PH015,CLM-2024-00031,2024-06-01,2024-05-30,Slip and Fall,35000.00,25000.00,10000.00,Under Review,Sophie Lavoie,Eastern Ontario,Tenant injured in parking lot due to uneven pavement
CLM032,POL050,PH016,CLM-2024-00032,2024-02-14,2024-02-13,Auto Collision,6500.00,500.00,6000.00,Closed,Marie Dubois,Greater Toronto,Minor fender bender on Gardiner Expressway
CLM033,POL051,PH016,CLM-2024-00033,2024-09-30,2024-09-28,Water Damage,42000.00,1000.00,41000.00,Closed,Pierre Gagnon,Greater Toronto,Condo above flooded causing ceiling collapse in living room
CLM034,POL054,PH017,CLM-2024-00034,2024-08-10,2024-08-09,Property Fire,85000.00,5000.00,80000.00,Closed,Jean-Marc Tremblay,Greater Toronto,Kitchen fire at restaurant location spread to dining area
CLM035,POL056,PH017,CLM-2024-00035,2024-11-25,2024-11-24,Liquor Liability,45000.00,5000.00,40000.00,Open,Sophie Lavoie,Greater Toronto,Patron injured in altercation claimed negligent service of alcohol
CLM036,POL057,PH018,CLM-2024-00036,2024-08-28,2024-08-27,Auto Collision,35000.00,1000.00,34000.00,Under Investigation,Marie Dubois,Greater Toronto,Rollover on Highway 410 ramp with disputed speed
CLM037,POL059,PH019,CLM-2024-00037,2024-05-05,2024-05-04,Auto Vandalism,4500.00,500.00,4000.00,Closed,Sophie Lavoie,Eastern Ontario,Vehicle keyed and tires slashed overnight in residential area
CLM038,POL060,PH019,CLM-2024-00038,2024-12-10,2024-12-08,Snow Load,18000.00,1000.00,17000.00,Open,Jean-Marc Tremblay,Eastern Ontario,Heavy snowfall collapsed garage roof
CLM039,POL062,PH020,CLM-2024-00039,2024-09-20,2024-09-18,Equipment Breakdown,320000.00,50000.00,270000.00,Under Review,Andre Bouchard,Northern Ontario,Mine conveyor system catastrophic failure halted operations 3 weeks
CLM040,POL064,PH020,CLM-2024-00040,2024-10-15,2024-10-12,Environmental,650000.00,250000.00,400000.00,Open,Andre Bouchard,Northern Ontario,Tailings pond overflow contaminated nearby creek during heavy rainfall
